algorithm,packet_loss_percent,jitter_ms,trials,success_rate_percent,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms
ECC_TLS,0,0,30,100.0,588.7778,589.8969999999999,48.36158024528035,522.345,727.101,678.35685
ECC_TLS,0,20,30,100.0,671.4258000000001,600.826,192.6777314854325,458.837,1335.689,916.63445
ECC_TLS,0,50,30,100.0,662.6750666666667,669.4435000000001,142.38847931964483,374.932,973.594,903.9415999999997
ECC_TLS,1,0,30,100.0,780.1769,729.3495,332.76068860849017,518.333,2092.489,1279.5831999999987
ECC_TLS,1,20,30,100.0,651.4171666666666,627.506,209.08311937040952,488.739,1696.64,745.3186999999998
ECC_TLS,1,50,30,100.0,661.5802,610.8975,225.75690593620752,414.411,1600.22,987.6445999999995
ECC_TLS,2,0,30,100.0,702.1789333333334,545.0405000000001,362.31398415861884,514.796,1717.69,1568.4828
ECC_TLS,2,20,30,100.0,627.9864,535.7695,274.51230884036687,464.715,1545.289,1311.0668999999987
ECC_TLS,2,50,30,100.0,773.8455333333334,614.7049999999999,475.3311299444392,395.705,2432.928,1858.7989999999986
ECC_TLS,3,0,30,100.0,906.8925,648.938,555.7663067518608,524.648,2841.199,1753.9098499999996
ECC_TLS,3,20,30,100.0,709.0717333333333,572.4805,450.04580720908626,493.836,2668.87,1545.9525999999996
ECC_TLS,3,50,30,100.0,747.5813333333333,587.676,457.3519032858565,291.136,2012.573,1819.7165999999997
ECC_TLS,5,0,30,100.0,1133.3956666666668,602.9645,1100.9884584856036,527.178,4754.846,3711.615599999996
ECC_TLS,5,20,30,100.0,1151.861,735.4159999999999,835.2953975590787,501.039,4299.471,2319.2258999999985
ECC_TLS,5,50,30,100.0,1013.1105,725.4214999999999,553.0006520314016,502.462,2644.5,1981.9992499999998
ECC_TLS,7,0,30,100.0,1200.8198,783.72,869.6852691720071,529.056,4288.287,2655.1433
ECC_TLS,7,20,30,100.0,1192.8149999999998,811.318,732.3855295746531,566.923,2951.597,2799.3766499999997
ECC_TLS,7,50,30,100.0,1352.0445666666667,942.508,1044.8707168751641,509.475,4098.774,3879.4858
ECC_TLS,10,0,30,100.0,1696.4180999999999,1614.6695,1225.2301858241633,546.038,5549.241,3944.8934499999978
ECC_TLS,10,20,30,100.0,1622.6737333333333,1621.4415,1044.6504679440816,522.308,4798.209,3320.4577499999996
ECC_TLS,10,50,30,100.0,1686.8426333333332,1286.329,1776.5432845123603,438.488,9424.895,3900.9089499999986
KYBER_TLS,0,0,30,100.0,397.8729333333333,397.317,62.26579422783419,319.439,547.226,497.57865
KYBER_TLS,0,20,30,100.0,476.8191,410.0565,134.79308782246142,292.893,825.502,673.28325
KYBER_TLS,0,50,30,100.0,446.5203666666667,426.946,129.2335562395046,257.601,796.545,709.3851
KYBER_TLS,1,0,30,100.0,618.1061000000001,616.8605,130.00608503035807,335.494,943.143,780.3154499999999
KYBER_TLS,1,20,30,100.0,440.76486666666665,437.40700000000004,96.11472689187049,277.388,633.878,617.8435
KYBER_TLS,1,50,30,100.0,507.27556666666663,491.84799999999996,160.64232655953694,259.618,877.356,805.8122499999996
KYBER_TLS,2,0,30,100.0,567.1783666666666,508.548,312.9703137890329,347.67,2091.918,812.9634499999992
KYBER_TLS,2,20,30,100.0,520.2164,422.83050000000003,323.24680531857086,281.058,1500.311,1415.23285
KYBER_TLS,2,50,30,100.0,676.2168333333334,567.999,415.0126507755274,257.939,2206.015,1496.655299999999
KYBER_TLS,3,0,30,100.0,639.7327,559.501,304.3846102974678,321.596,1504.807,1272.035849999999
KYBER_TLS,3,20,30,100.0,453.63396666666665,432.3225,87.10353540529972,286.647,644.35,596.54835
KYBER_TLS,3,50,30,100.0,636.4611,471.8635,467.03925773243674,271.028,2307.658,1503.9698999999996
KYBER_TLS,5,0,30,100.0,637.8575666666667,507.25600000000003,326.60710176968286,344.707,1504.843,1414.85125
KYBER_TLS,5,20,30,100.0,641.5552666666666,530.586,361.13942427419744,337.462,1861.353,1370.5916999999977
KYBER_TLS,5,50,30,100.0,787.0658999999999,626.76,495.58429780184554,272.739,2276.856,1855.514499999998
KYBER_TLS,7,0,30,100.0,737.6380333333333,605.4825,341.327337181903,330.735,1500.456,1346.8145999999992
KYBER_TLS,7,20,30,100.0,808.3308666666667,633.12,492.31009746358274,355.705,2452.141,1599.4629499999999
KYBER_TLS,7,50,30,100.0,686.5510666666667,463.50649999999996,494.89181851229796,281.701,2523.783,1613.2819499999985
KYBER_TLS,10,0,30,100.0,1097.3385666666666,855.4055,737.6873874248511,328.82,3946.676,2191.707349999999
KYBER_TLS,10,20,30,100.0,864.69,529.1020000000001,659.8923263928275,351.122,2915.749,2267.191649999998
KYBER_TLS,10,50,30,100.0,1084.3434333333332,766.7,825.3327431622782,310.163,3679.422,2555.85775
