timestamp,algorithm,packet_loss_percent,base_delay_ms,jitter_ms,trial_number,success,handshake_time_ms,error_reason
2026-04-26T14:41:01.774060,KYBER_TLS,0,50,0,1,1,330.496,
2026-04-26T14:41:02.252636,KYBER_TLS,0,50,0,2,1,368.262,
2026-04-26T14:41:02.688478,KYBER_TLS,0,50,0,3,1,334.455,
2026-04-26T14:41:03.141857,KYBER_TLS,0,50,0,4,1,322.987,
2026-04-26T14:41:03.609609,KYBER_TLS,0,50,0,5,1,366.291,
2026-04-26T14:41:04.148675,KYBER_TLS,0,50,0,6,1,436.899,
2026-04-26T14:41:04.613962,KYBER_TLS,0,50,0,7,1,319.439,
2026-04-26T14:41:05.074115,KYBER_TLS,0,50,0,8,1,358.561,
2026-04-26T14:41:05.723750,KYBER_TLS,0,50,0,9,1,547.226,
2026-04-26T14:41:06.176126,KYBER_TLS,0,50,0,10,1,327.556,
2026-04-26T14:41:06.716287,KYBER_TLS,0,50,0,11,1,437.778,
2026-04-26T14:41:07.289857,KYBER_TLS,0,50,0,12,1,465.04,
2026-04-26T14:41:07.815200,KYBER_TLS,0,50,0,13,1,413.002,
2026-04-26T14:41:08.398635,KYBER_TLS,0,50,0,14,1,461.475,
2026-04-26T14:41:08.975329,KYBER_TLS,0,50,0,15,1,474.828,
2026-04-26T14:41:09.532915,KYBER_TLS,0,50,0,16,1,437.822,
2026-04-26T14:41:09.958527,KYBER_TLS,0,50,0,17,1,324.695,
2026-04-26T14:41:10.415526,KYBER_TLS,0,50,0,18,1,335.597,
2026-04-26T14:41:10.928628,KYBER_TLS,0,50,0,19,1,402.726,
2026-04-26T14:41:11.391908,KYBER_TLS,0,50,0,20,1,343.871,
2026-04-26T14:41:11.932230,KYBER_TLS,0,50,0,21,1,426.332,
2026-04-26T14:41:12.437876,KYBER_TLS,0,50,0,22,1,404.936,
2026-04-26T14:41:13.061838,KYBER_TLS,0,50,0,23,1,502.539,
2026-04-26T14:41:13.508612,KYBER_TLS,0,50,0,24,1,341.946,
2026-04-26T14:41:14.001524,KYBER_TLS,0,50,0,25,1,391.908,
2026-04-26T14:41:14.462880,KYBER_TLS,0,50,0,26,1,360.435,
2026-04-26T14:41:14.985031,KYBER_TLS,0,50,0,27,1,421.452,
2026-04-26T14:41:15.434453,KYBER_TLS,0,50,0,28,1,347.788,
2026-04-26T14:41:16.027182,KYBER_TLS,0,50,0,29,1,491.516,
2026-04-26T14:41:16.577940,KYBER_TLS,0,50,0,30,1,438.33,
2026-04-26T14:41:17.371212,KYBER_TLS,0,50,20,1,1,406.274,
2026-04-26T14:41:17.849083,KYBER_TLS,0,50,20,2,1,368.388,
2026-04-26T14:41:18.338829,KYBER_TLS,0,50,20,3,1,387.638,
2026-04-26T14:41:18.808921,KYBER_TLS,0,50,20,4,1,367.787,
2026-04-26T14:41:19.340551,KYBER_TLS,0,50,20,5,1,413.839,
2026-04-26T14:41:19.757027,KYBER_TLS,0,50,20,6,1,292.893,
2026-04-26T14:41:20.198200,KYBER_TLS,0,50,20,7,1,328.895,
2026-04-26T14:41:20.806997,KYBER_TLS,0,50,20,8,1,496.492,
2026-04-26T14:41:21.281271,KYBER_TLS,0,50,20,9,1,373.145,
2026-04-26T14:41:21.773718,KYBER_TLS,0,50,20,10,1,372.086,
2026-04-26T14:41:22.266516,KYBER_TLS,0,50,20,11,1,391.52,
2026-04-26T14:41:22.759196,KYBER_TLS,0,50,20,12,1,382.526,
2026-04-26T14:41:23.266528,KYBER_TLS,0,50,20,13,1,406.049,
2026-04-26T14:41:23.742989,KYBER_TLS,0,50,20,14,1,369.32,
2026-04-26T14:41:24.229104,KYBER_TLS,0,50,20,15,1,382.2,
2026-04-26T14:41:24.683947,KYBER_TLS,0,50,20,16,1,352.234,
2026-04-26T14:41:25.409243,KYBER_TLS,0,50,20,17,1,596.665,
2026-04-26T14:41:26.195776,KYBER_TLS,0,50,20,18,1,670.91,
2026-04-26T14:41:26.932037,KYBER_TLS,0,50,20,19,1,634.401,
2026-04-26T14:41:27.859644,KYBER_TLS,0,50,20,20,1,825.502,
2026-04-26T14:41:28.636682,KYBER_TLS,0,50,20,21,1,675.225,
2026-04-26T14:41:29.235236,KYBER_TLS,0,50,20,22,1,495.493,
2026-04-26T14:41:29.964035,KYBER_TLS,0,50,20,23,1,626.825,
2026-04-26T14:41:30.698695,KYBER_TLS,0,50,20,24,1,633.093,
2026-04-26T14:41:31.400997,KYBER_TLS,0,50,20,25,1,601.537,
2026-04-26T14:41:31.860460,KYBER_TLS,0,50,20,26,1,297.322,
2026-04-26T14:41:32.499594,KYBER_TLS,0,50,20,27,1,537.632,
2026-04-26T14:41:33.169478,KYBER_TLS,0,50,20,28,1,553.094,
2026-04-26T14:41:33.876929,KYBER_TLS,0,50,20,29,1,569.568,
2026-04-26T14:41:34.473693,KYBER_TLS,0,50,20,30,1,496.02,
2026-04-26T14:41:35.498246,KYBER_TLS,0,50,50,1,1,379.656,
2026-04-26T14:41:36.129096,KYBER_TLS,0,50,50,2,1,416.434,
2026-04-26T14:41:36.665763,KYBER_TLS,0,50,50,3,1,429.875,
2026-04-26T14:41:37.192037,KYBER_TLS,0,50,50,4,1,424.017,
2026-04-26T14:41:37.653318,KYBER_TLS,0,50,50,5,1,355.421,
2026-04-26T14:41:38.194331,KYBER_TLS,0,50,50,6,1,359.987,
2026-04-26T14:41:38.754759,KYBER_TLS,0,50,50,7,1,458.354,
2026-04-26T14:41:39.387357,KYBER_TLS,0,50,50,8,1,531.271,
2026-04-26T14:41:40.023812,KYBER_TLS,0,50,50,9,1,499.697,
2026-04-26T14:41:40.606980,KYBER_TLS,0,50,50,10,1,481.264,
2026-04-26T14:41:41.108926,KYBER_TLS,0,50,50,11,1,395.779,
2026-04-26T14:41:41.745558,KYBER_TLS,0,50,50,12,1,535.428,
2026-04-26T14:41:42.155236,KYBER_TLS,0,50,50,13,1,308.62,
2026-04-26T14:41:42.557538,KYBER_TLS,0,50,50,14,1,257.601,
2026-04-26T14:41:43.298790,KYBER_TLS,0,50,50,15,1,607.765,
2026-04-26T14:41:43.914267,KYBER_TLS,0,50,50,16,1,511.99,
2026-04-26T14:41:44.477290,KYBER_TLS,0,50,50,17,1,381.769,
2026-04-26T14:41:45.376327,KYBER_TLS,0,50,50,18,1,796.545,
2026-04-26T14:41:45.943311,KYBER_TLS,0,50,50,19,1,462.697,
2026-04-26T14:41:46.469134,KYBER_TLS,0,50,50,20,1,421.939,
2026-04-26T14:41:47.053227,KYBER_TLS,0,50,50,21,1,443.633,
2026-04-26T14:41:47.890411,KYBER_TLS,0,50,50,22,1,710.736,
2026-04-26T14:41:48.359301,KYBER_TLS,0,50,50,23,1,346.749,
2026-04-26T14:41:48.907990,KYBER_TLS,0,50,50,24,1,444.715,
2026-04-26T14:41:49.284864,KYBER_TLS,0,50,50,25,1,269.4,
2026-04-26T14:41:49.789001,KYBER_TLS,0,50,50,26,1,341.963,
2026-04-26T14:41:50.662907,KYBER_TLS,0,50,50,27,1,707.734,
